"District","Ward","Village","Vaccination.Date","Dogs.Vaccinated","Cats.Vaccinated"
"Serengeti","Issenye","Nyiberekera",2005-08-09,229,5
"Serengeti","Issenye","Singisi",2005-08-09,154,4
"Serengeti","Rigicha","Kitembere",2005-08-10,184,0
"Serengeti","Natta","Kono",2005-08-10,107,8
"Serengeti","Natta","Mbisso",2005-08-11,135,16
"Serengeti","Natta","Motukeri",2005-08-11,148,0
"Serengeti","Nyansurura","Merenga",2005-08-12,267,3
"Serengeti","Machochwe","Nyamakendo",2005-08-15,224,2
"Serengeti","Mbalibali","Kitunguruma",2005-08-16,88,10
"Serengeti","Mbalibali","Mbalibali",2005-08-16,140,6
"Serengeti","Kisangura","Kibeyo",2005-08-17,231,21
"Serengeti","Mbalibali","Koreri",2005-08-17,160,0
"Serengeti","Sedeco","Bisarara",2005-08-18,172,0
"Serengeti","Sedeco","Nyamburi",2005-08-19,217,1
"Serengeti","Kisangura","Kebosongo",2005-08-22,167,1
"Serengeti","Manchira","Misseke",2005-08-23,217,4
"Serengeti","Manchira","Rwamchanga",2005-08-23,200,0
"Serengeti","Kyambahi","Nyichoka",2005-08-24,150,6
"Serengeti","Manchira","Bwitengi",2005-08-25,177,7
"Serengeti","Kenyamonta","Kenyamonta",2005-08-25,110,0
"Serengeti","Kenyamonta","Magatini",2005-08-25,110,0
"Serengeti","Kenyamonta","Mesaga",2005-08-25,105,0
"Serengeti","Morotonga","Morotonga",2005-08-25,306,16
"Serengeti","Kenyamonta","Nyagasense",2005-08-25,105,0
"Serengeti","Ikoma","Park Nyigoti",2005-08-26,128,0
"Serengeti","Ikoma","Robanda",2005-08-26,48,0
"Serengeti","Machochwe","Machochwe",2005-08-29,365,13
"Serengeti","Natta","Makundusi",2005-08-29,81,1
"Serengeti","Mosongo","Mosongo",2005-08-29,151,1
"Serengeti","Uwanja wa Ndege","Burunga",2005-08-30,282,8
"Serengeti","Kyambahi","Kyambahi",2005-08-30,112,8
"Serengeti","Geitasamo","Kegonga",2005-08-31,86,4
"Serengeti","Geitasamo","Matare",2005-08-31,222,5
"Serengeti","Sedeco","Bonchugu",2005-09-01,364,1
