"village","ward","district","date.vaccinated","dogsVax"
"Sogoti","Kebanchebanche","Serengeti",2022-04-29,1
"Sogoti","Kebanchebanche","Serengeti",2022-11-16,43
"Sogoti","Kebanchebanche","Serengeti",2022-11-24,3
"Wagete","Rigicha","Serengeti",2020-11-06,63
"Wagete","Rigicha","Serengeti",2020-11-07,3
"Wagete","Rigicha","Serengeti",2021-10-11,18
"Wagete","Rigicha","Serengeti",2021-10-12,7
"Wagete","Rigicha","Serengeti",2021-10-30,13
"Wagete","Rigicha","Serengeti",2021-10-31,26
"Wagete","Rigicha","Serengeti",2021-12-13,6
"Wagete","Rigicha","Serengeti",2021-12-22,32
"Wagete","Rigicha","Serengeti",2022-02-10,15
"Wagete","Rigicha","Serengeti",2022-07-23,34
"Wagete","Rigicha","Serengeti",2022-07-24,18
"Wagete","Rigicha","Serengeti",2022-11-19,40
"Wagete","Rigicha","Serengeti",2022-12-13,1
