"kernel_type","dist","AIC","par1name","par1est","par2name","par2est"
"DK","gamma","45115","shape","0.580337776001023","rate","0.000377416614461849"
"DK2","gamma",NA,"shape","1.0596360065754","rate","0.000415974160336918"
"DK","lnorm","45259","meanlog","6.45170939376942","sdlog","1.74314754879781"
"DK2","lnorm",NA,"meanlog","7.43460345916615","sdlog","1.47251653468263"
"DK","weibull","45081","shape","0.690860588150598","scale","1256.11324665477"
"DK2","weibull",NA,"shape","0.957467367665367","scale","2647.14505030028"
