"vc","immunity"
0.219296099336209,0.147050369716885
0.208101054864018,0.135737392089644
0.197484558929348,0.125295185954517
0.187414530093577,0.115656520126192
0.177861329215192,0.106759444593224
0.168797385293644,0.0985468369392469
0.160196917845508,0.0909660040001837
0.152035726692089,0.0839683257734629
0.144291029167773,0.0775089333444655
0.136941330966115,0.0715464153683551
0.129966321084436,0.0660425492865586
0.123346784241056,0.0609620544480513
0.117064526145786,0.0562723649211948
0.111102308389807,0.0519434201794108
0.105443790679782,0.0479474721134439
0.10007347880583,0.0442589070160601
0.0949766771947022,0.0408540813314801
0.092636023493613,0.0404253074168901
0.110912984751055,0.0623391137821078
0.160878957385221,0.117749368001854
0.152518727239648,0.108592614160524
0.144644889393734,0.100186405405789
0.137208392835186,0.0924504027048693
0.130173627912136,0.0853221218811769
0.123512146257879,0.0787491349737072
0.117199907850124,0.0726856600776355
0.111215862045044,0.0670908118739579
0.105541133916725,0.0619275967503283
0.100158521588215,0.0571622798729381
0.334035608846901,0.303175517228701
0.331083492027585,0.294978242765745
0.313628954034317,0.271945423963352
0.29726469894964,0.250837515467432
0.281862055199243,0.231435421372788
0.267327908222541,0.213571101150694
0.25359008988419,0.197106360093605
0.240589837392068,0.181922530149266
0.228277494059011,0.167914910123064
0.21660988951204,0.154989536453229
0.205548666021277,0.143061179524813
0.195059170415433,0.132052016940193
0.185109698937314,0.121890695726252
0.175670969439433,0.112511626554379
0.263623406607122,0.210694633298574
0.277459117854523,0.22533474038716
0.262718949384126,0.207704372365738
0.248939354225327,0.191564447310153
0.235993046702369,0.176736842065499
0.223791766207608,0.163088616089029
0.212268922826905,0.150511944616308
0.201371400710409,0.138914991156351
0.191055059824621,0.128217134994037
0.181282046255014,0.118346249559337
0.172019093353004,0.10923703931693
0.163236406695213,0.100829954917477
0.226098229050597,0.173189348755709
0.252802681629508,0.203145476748751
0.239229443681994,0.187173854755859
0.22659374194749,0.172590127668607
0.214752605336772,0.159210034704021
0.203611695589641,0.146903396440834
0.193102335452308,0.135567947972825
0.183171240529156,0.125118276670037
0.173775096984765,0.11548030674487
0.164877408509303,0.106588265529275
0.210787576582347,0.157391689474659
0.320500386432868,0.278554055965829
0.303058190580259,0.256528149855754
0.286913583366306,0.236483091100834
0.271832202539315,0.218119376679937
0.25767166405296,0.201242270228341
0.244332452571058,0.185704145704294
0.231739502887739,0.171384135601047
0.219833143103702,0.158178683410669
0.208564007879887,0.14599653759671
0.197889954699124,0.134755866472153
0.187774100197397,0.124382477512741
0.327830249764643,0.277644488990929
0.365700561857608,0.318636711313529
0.34576635172278,0.29341465504308
0.327321469706919,0.270466655817667
0.310098855539555,0.249451010296179
0.293932987545337,0.230141508051911
0.27870812264302,0.212366876191858
0.264337230108144,0.195987420407926
0.250751360160914,0.180883851982628
0.237893635493891,0.166951311074199
0.225715610967602,0.154095917560907
0.214174961690784,0.142232647917026
0.207572617666487,0.136556358494243
0.331361586243909,0.27454617020487
0.365719296902471,0.312502643491879
0.3490204746102,0.291024159168587
0.330489571645613,0.268308346989156
0.313154511908315,0.247482304930354
0.296864361417002,0.228336243626221
0.281510617621831,0.210706559333779
0.267010322088976,0.194457749278689
0.253296940145451,0.179473072382345
0.240315045304619,0.165649356344547
0.228017048041929,0.152893927063689
0.225688027711109,0.152038595393339
0.316994896334457,0.257980489892494
0.299419191039303,0.237322157275179
0.283272306419902,0.218638638407296
0.274930508147475,0.208469515002292
0.260534411782125,0.192297689552493
0.279164554932233,0.211376569876761
0.267716792917076,0.198546188823659
0.253575127868114,0.182983185270633
0.24034531730448,0.168754934174294
0.227898364479473,0.155688287947655
0.216525163875492,0.144070577168695
0.262726227964593,0.198677978635262
0.27748553995875,0.216531526344103
0.266333596537933,0.203978735727725
0.252116435317479,0.18800415998268
0.24028202515405,0.174891150427181
0.228126824613989,0.161728694417229
0.216306620952235,0.149232222034935
0.21520525946862,0.148450226929857
0.204042392822684,0.136931983331923
0.193515989915101,0.12634305934512
0.183567946638771,0.116591009564022
0.19229496211524,0.128111765191715
0.259133944397609,0.205224620186783
0.266703444407575,0.212378701349178
0.253103962307194,0.196487499898712
0.240657339202675,0.182147945056961
0.263322349557475,0.204435534458616
0.250080756778393,0.189071916803099
0.238000532010245,0.175312295831726
0.248869387271635,0.188243596341431
0.302461146989244,0.248943693380703
0.334747271245547,0.282581747961332
0.316263386582068,0.260013884120021
0.302682989015992,0.243210137226949
0.315447658229415,0.256645733016519
0.304069222136578,0.242950738572615
0.28784399478336,0.223866140766667
0.272715912246506,0.206434551944724
0.26225481504567,0.194428384348253
0.248669138020871,0.1793928447541
0.235845394827576,0.165544145018865
0.223721451593241,0.15277791491961
0.212246586634794,0.141003674680807
0.201377773455042,0.130141067964552
0.191077456442594,0.120117667199825
0.229338243654071,0.165713830926857
0.286301304882244,0.231369934471605
0.347178306132054,0.294358231955986
0.343846396510224,0.287340459856964
0.341631183919472,0.281452242395212
0.335964249370815,0.273072401861692
0.318455217207776,0.251912653175391
0.301961966577483,0.232441299741506
0.286390972446828,0.214501983539552
0.271668439107267,0.197962311598307
0.257733515924644,0.182706484042943
0.244534301927724,0.168631136562569
0.232025359605849,0.155642827648
0.240829950055688,0.166983833026161
0.31541408477982,0.253384794470732
0.298486047941256,0.233461942562818
0.304865897856794,0.239373591657964
0.340584692097155,0.277322974902845
0.373523218653962,0.310523296246898
0.36760944366749,0.300709633727578
0.348468853237444,0.277411132728896
0.330432209690914,0.255970167571399
0.313399719253095,0.236215097817176
0.297292444891971,0.218000683448184
0.327843994321385,0.253222805681333
