"District","Ward","Village","Village.2002","UTM.Easting","UTM.Northing","Biter.ID","ID","Species","Other.species","Owner","Suspect","Rabid","Vaccination","Date.bitten.known","Date.bitten","Date.bitten.uncertainty","Symptoms.started.known","Symptoms.started","Symptoms.started.accuracy","Incubation.period","Incubation.period.units","Infectious.period","Infectious.period.units","Outcome","Action","Lateral.flow.test","Lateral.flow.test.date","Carnivore","Duplicated","month","day"
"Serengeti","Mosongo","Kenokwe","Kenokwe",669832.309725495,9797550.71039085,3573,3574,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2008-01-03,"0","true",2008-01-15,"+/- 7 days",1,"Week",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,73,2206
"Serengeti","Mosongo","Kenokwe","Kenokwe",669928.296265414,9798146.78735583,0,3575,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2008-03-09,"0",NA,"",NA,"","Killed","Thrown","","",TRUE,FALSE,75,2260
"Serengeti","Kisaka","Borenga","Borenga",668743.952075518,9831021.61086952,1298,358,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2003-10-05,"+/- 7 days","true",2003-11-10,"0",40,"Day",NA,"","Killed","Buried","","",TRUE,FALSE,23,679
"Serengeti","Ring'wani","Kenyana","Kenyana",666045.265000698,9804744.70490437,0,3588,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2006-07-10,"0","false",NA,"",NA,"",NA,"","Died","Not applicable","","",TRUE,FALSE,56,1680
"Serengeti","Nyamatare","Nyirongo","Nyirongo",662894.493404206,9799096.97598495,1556,3589,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2003-12-20,"0","true",2003-12-25,"+/- 7 days",NA,"",NA,"","Killed","Thrown","","",TRUE,FALSE,24,724
"Serengeti","Rung'abure","Rung'abure","Rung'abure",675894.31136687,9810191.67333254,0,3590,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2007-06-25,"+/- 7 days",NA,"",NA,"","Killed","Not applicable","","",TRUE,FALSE,66,2002
"Serengeti","Kebanchebanche","Kebanchebanche","Kebanchebanche",673738.16967381,9810177.45144798,3590,3591,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2007-06-25,"+/- 7 days","true",2007-07-05,"+/- 7 days",11,"Day",NA,"","Killed","Buried","","",TRUE,FALSE,67,2012
"Serengeti","Kebanchebanche","Kebanchebanche","Kebanchebanche",673866.289530848,9810239.19563458,3508,3598,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2007-08-23,"0","true",2007-08-25,"+/- 7 days",1,"Week",NA,"","Died","Thrown","","",TRUE,FALSE,68,2063
"Serengeti","Geitasamo","Kegonga","Kegonga",685617.796949068,9800800.66563055,0,36,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2003-06-29,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,18,545
"Serengeti","Kisaka","Nyiboko","Nyiboko",665438.826125978,9829332.69575403,361,360,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2003-10-15,"+/- 28 days","true",2003-11-12,"0",NA,"",NA,"","Killed","Not applicable","","",TRUE,FALSE,23,681
"Serengeti","Rung'abure","Rung'abure","Rung'abure",676050.428920439,9807536.91489375,0,3603,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2008-04-26,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,76,2308
