"District","Ward","Village","Village.2002","UTM.Easting","UTM.Northing","Biter.ID","ID","Species","Other.species","Owner","Suspect","Rabid","Vaccination","Date.bitten.known","Date.bitten","Date.bitten.uncertainty","Symptoms.started.known","Symptoms.started","Symptoms.started.accuracy","Incubation.period","Incubation.period.units","Infectious.period","Infectious.period.units","Outcome","Action","Lateral.flow.test","Lateral.flow.test.date","Carnivore","Duplicated","month","day"
"Serengeti","Mosongo","Kenokwe","Kenokwe",667339.83603512,9792945.31574923,0,6945,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2012-02-25,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,122,3708
"Serengeti","Rung'abure","Rung'abure","Rung'abure",673153.095505647,9806257.12349985,519,695,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2004-03-05,"0","true",2004-04-05,"+/- 7 days",1,"Month",NA,"","Killed","Thrown","","",TRUE,FALSE,28,826
"Serengeti","Rung'abure","Gesarya","Gesarya",681320.316474157,9810347.99591557,0,697,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2004-03-15,"+/- 7 days",NA,"",NA,"","Killed","Buried","","",TRUE,FALSE,27,805
"Serengeti","Rung'abure","Gesarya","Gesarya",675937.341050424,9811959.02033849,498,698,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2004-02-04,"0","true",2004-02-15,"+/- 7 days",1,"Week",NA,"","Died","Not applicable","","",TRUE,FALSE,26,776
"Serengeti","Majimoto","Iseresere","Iseresere",650777.599473712,9825824.07389962,0,6982,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2011-12-10,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,120,3631
"Serengeti","Majimoto","Iseresere","Iseresere",652388.853562482,9827597.25942127,0,6989,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2011-12-20,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,120,3641
"Serengeti","Rung'abure","Gesarya","Gesarya",676057.245766457,9812612.0590074,498,699,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2004-02-04,"0","true",2004-02-25,"+/- 7 days",2,"Week",NA,"","Died","Not applicable","","",TRUE,FALSE,26,786
"Serengeti","Majimoto","Nyamakobiti","Nyamakobiti",649242.837890914,9824139.22415274,0,6994,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2012-02-12,"0",NA,"",NA,"","Killed","Buried","","",TRUE,FALSE,122,3695
"Serengeti","Majimoto","Majimoto","Majimoto",651434.021804964,9818483.52971979,0,6995,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2012-01-22,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,121,3674
"Serengeti","Kisaka","Buchanchari","Buchanchari",661204.319786985,9828092.5194744,0,6996,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2011-12-25,"+/- 7 days",NA,"",NA,"","Died","Not applicable","","",TRUE,FALSE,120,3646
"Serengeti","Kisangura","Kibeyo","Kibeyo",690797.169663839,9799543.4273059,3,7,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2003-07-12,"0",NA,"",NA,"","Died","Not applicable","","",TRUE,FALSE,19,558
"Serengeti","Kisangura","Kisangura","Kisangura",695427.635381448,9798078.00405496,0,70,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2003-07-22,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,19,568
"Serengeti","Kebanchebanche","Kebanchebanche","Kebanchebanche",677478.438864325,9815655.49687989,0,700,"Livestock: Cow","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2004-06-25,"+/- 7 days",NA,"",NA,"","Died","Not applicable","","",FALSE,FALSE,30,907
"Serengeti","Rung'abure","Gesarya","Gesarya",677200.47518193,9811466.33422751,498,703,"Livestock: Goat","","Known","Yes",TRUE,"Not vaccinated","true",2004-02-05,"0","true",2004-02-15,"+/- 7 days",1,"Week",NA,"","Killed","Not applicable","","",FALSE,FALSE,26,776
"Serengeti","Rung'abure","Gesarya","Gesarya",676030.521236372,9812232.89530961,498,704,"Livestock: Goat","","Known","Yes",TRUE,"Not vaccinated","true",2004-02-05,"+/- 7 days","true",2004-02-25,"+/- 7 days",2,"Week",NA,"","Killed","Not applicable","","",FALSE,FALSE,26,786
"Serengeti","Nyambureti","Maburi","Maburi",649877.906508994,9803000.84549495,0,7069,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2011-11-25,"+/- 7 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,119,3616
"Serengeti","Nyamatare","Kemgesi","Kemgesi",656769.724461571,9804443.56505701,7133,7128,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2012-01-25,"+/- 7 days","true",2012-04-08,"0",NA,"",NA,"","Killed","Not applicable","","",TRUE,FALSE,124,3751
"Serengeti","Nyamatare","Kemgesi","Kemgesi",656780.625031896,9804247.9027542,7134,7079,"Domestic dog","","Known","Yes",TRUE,"Unknown","true",2012-02-03,"0","true",2012-04-09,"0",NA,"",NA,"","Killed","Buried","","",TRUE,FALSE,124,3752
"Serengeti","Nyamatare","Kemgesi","Kemgesi",656784.283467936,9802565.06782429,0,7082,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2012-04-12,"0",NA,"",NA,"","Died","Not applicable","","",TRUE,FALSE,124,3755
"Serengeti","Mugumu","Stendi Kuu","Stendi Kuu",686082.568240584,9799158.77956181,0,7083,"Domestic dog","","Known","Yes",TRUE,"Unknown","false",NA,"","true",2012-04-30,"0",NA,"",NA,"","Killed","Thrown","","",TRUE,FALSE,124,3773
"Serengeti","Uwanja wa Ndege","Burunga","Burunga",682126.483726856,9791173.57388524,0,7094,"Domestic dog","","Known","Yes",TRUE,"Unknown","false",NA,"","true",2012-03-24,"0",NA,"",NA,"","Killed","Buried","","",TRUE,FALSE,123,3736
"Serengeti","Mbalibali","Tamkeri","Tamkeri",698752.668879627,9804109.71222458,0,7106,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2012-03-10,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,123,3722
"Serengeti","Kenyamonta","Hekwe","Hekwe",644710.218939475,9820970.10060306,0,7113,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2012-06-13,"0",NA,"",NA,"","Killed","Buried","","",TRUE,FALSE,126,3817
"Serengeti","Majimoto","Iseresere","Iseresere",651096.505869305,9823719.68529441,0,7114,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2012-06-19,"0",NA,"",NA,"","Killed","Buried","","",TRUE,FALSE,126,3823
"Serengeti","Manchira","Rwamchanga","Rwamchanga",689548.217366369,9790853.83407237,7514,7117,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2011-10-25,"+/- 7 days","true",2012-07-19,"0",NA,"",NA,"","Killed","Buried","","",TRUE,FALSE,127,3853
"Serengeti","Rung'abure","Rung'abure","Rung'abure",672707.853893321,9804156.31064927,0,7123,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2012-04-05,"+/- 7 days","true",2012-07-16,"0",NA,"",NA,"","Killed","Buried","","",TRUE,FALSE,127,3850
"Serengeti","Nyamatare","Nyamatare","Nyamatare",656603.498327213,9804009.35491047,0,7126,"Domestic dog","","Known","Yes",TRUE,"Unknown","false",NA,"","true",2012-07-27,"0",NA,"",NA,"","Killed","Buried","","",TRUE,FALSE,127,3861
"Serengeti","Nyamatare","Kemgesi","Kemgesi",657505.757390377,9804288.37028754,0,7133,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2012-01-25,"+/- 7 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,121,3677
"Serengeti","Nyamatare","Nyamatare","Nyamatare",656888.940185125,9803932.9745044,0,7136,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2012-04-10,"0",NA,"",NA,"","Killed","Buried","","",TRUE,FALSE,124,3753
