"shape","1.15 (1.07-1.24)","rate","0.04 (0.04-0.04)","10023","81.1","98.8","122.1"
"meanlog","2.85 (2.8-2.91)","sdlog","0.97 (0.93-1.01)","9796","85.7","116.4","166.2"
"shape","0.99 (0.95-1.03)","scale","28.29 (26.61-30.2)","10036","85.5","105.5","131.9"
