"dogsVax","dogsImmune","vc","immunity"
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2068.99994086292,2068.99994086292,0.050853220442558,0.050853220442558
4037.92611995821,3983.98675117037,0.0989809739509892,0.0976587676752148
5911.54213872707,5756.3620134591,0.144520452021625,0.140726737738244
7694.0754489367,7396.46288638925,0.18759442407103,0.18033813218282
9388.75346115871,8913.37537299741,0.228300140630881,0.216740684433735
10997.1193476398,10314.7246080052,0.266693073899611,0.250144199146776
12518.2551930326,11606.5399778982,0.302768681760254,0.280717780131356
13948.1397804095,12793.2758352133,0.336447717466245,0.308590860246399
15279.4581150803,13878.0336850379,0.367572649837376,0.333859066055953
16502.2134124386,14862.9878119687,0.395923402475831,0.356594873572286
15632.3320379242,13727.9960377076,0.374047087160997,0.328480543914039
14827.728403944,12689.9285486014,0.353842875751861,0.302827290087698
14077.4811859083,11736.1275972393,0.335037879681201,0.279314690882564
13373.9240614788,10857.2863821291,0.317439324554844,0.257705191071682
12711.4670371497,10046.1161980095,0.300905593978419,0.237811462115555
12085.8879348484,9296.6112437898,0.285328830445061,0.219478388976658
11493.8897686808,8603.63025287524,0.270624071123273,0.202572801056164
10932.8159393685,7962.65144767071,0.256722260724178,0.186977434939122
10400.4627358267,7369.62442627863,0.243565653195572,0.172587262008003
9894.95364898902,6820.87718428492,0.231104729416578,0.15930716120322
9414.65387031742,6313.05498172211,0.219296099336209,0.147050369716885
8958.11138675826,5843.07791462981,0.208101054864018,0.135737392089644
8524.01592423729,5408.10970790213,0.197484558929348,0.125295185954517
8111.16999928156,5005.53343329608,0.187414530093577,0.115656520126192
7718.46825571212,4632.93166494492,0.177861329215192,0.106759444593224
7344.8825111721,4288.06961616874,0.168797385293644,0.0985468369392469
6989.45076362234,3968.88039216782,0.160196917845508,0.0909660040001837
6651.26896078713,3673.45183305101,0.152035726692089,0.0839683257734629
6329.48470943328,3400.01461821891,0.144291029167773,0.0775089333444655
6023.29235610092,3146.9314176687,0.136941330966115,0.0715464153683551
5731.92904541944,2912.68694328305,0.129966321084436,0.0660425492865586
5454.67148220396,2695.87879360108,0.123346784241056,0.0609620544480513
5190.83320639388,2495.2090103836,0.117064526145786,0.0562723649211948
4939.7622472332,2309.47628103438,0.111102308389807,0.0519434201794108
4700.83906284709,2137.56873138349,0.105443790679782,0.0479474721134439
4473.47469898112,1978.45726064006,0.10007347880583,0.0442589070160601
4257.10911987903,1831.18937572418,0.0949766771947022,0.0408540813314801
4163.4154055111,1816.86714654377,0.092636023493613,0.0404253074168901
4998.32475988398,2809.32964364546,0.110912984751055,0.0623391137821078
7269.65440770515,5320.75310538911,0.160878957385221,0.117749368001854
6910.51393203377,4920.25331350388,0.152518727239648,0.108592614160524
6571.47905148748,4551.64967893084,0.144644889393734,0.100186405405789
6250.48588455833,4211.54949189327,0.137208392835186,0.0924504027048693
5946.06134200629,3897.33756885113,0.130173627912136,0.0853221218811769
5657.04362688127,3606.82981894992,0.123512146257879,0.0787491349737072
5382.46012026318,3338.12264752959,0.117199907850124,0.0726856600776355
5121.46468065922,3089.5163431819,0.111215862045044,0.0670908118739579
4873.30185478463,2859.47157194512,0.105541133916725,0.0619275967503283
4637.28489234732,2646.5823642718,0.100158521588215,0.0571622798729381
15507.5489963125,14074.8742451027,0.334035608846901,0.303175517228701
15412.1297139924,13731.4092963971,0.331083492027585,0.294978242765745
14639.1620690673,12693.5127772199,0.313628954034317,0.271945423963352
13912.9286261402,11739.9895170464,0.29726469894964,0.250837515467432
13227.7869405133,10861.2648915908,0.281862055199243,0.231435421372788
12579.7046304364,10050.0594492223,0.267327908222541,0.213571101150694
11965.592199183,9300.41992501554,0.25359008988419,0.197106360093605
11382.959312751,8607.24950483751,0.240589837392068,0.181922530149266
10829.7191825003,7966.05609625919,0.228277494059011,0.167914910123064
10304.0695922236,7372.80727707396,0.21660988951204,0.154989536453229
9804.41707492327,6823.84127536274,0.205548666021277,0.143061179524813
9329.32687607902,6315.80882896603,0.195059170415433,0.132052016940193
8877.48900629905,5845.63271126267,0.185109698937314,0.121890695726252
8447.69465654533,5410.47772136505,0.175670969439433,0.112511626554379
12711.582737438,10159.4251359494,0.263623406607122,0.210694633298574
13415.0508314335,10894.8555007177,0.277459117854523,0.22533474038716
12736.8663214438,10069.706929795,0.262718949384126,0.207704372365738
12101.6010407193,9312.45492359963,0.248939354225327,0.191564447310153
11503.4145398648,8614.98754796,0.235993046702369,0.176736842065499
10938.3085029442,7971.31023330467,0.223791766207608,0.163088616089029
10403.3016519959,7376.59164242709,0.212268922826905,0.150511944616308
9896.04104317254,6826.73134886795,0.201371400710409,0.138914991156351
9414.58916004851,6318.13494159957,0.191055059824621,0.128217134994037
8957.29682917637,5847.58671816593,0.181282046255014,0.118346249559337
8522.72310960146,5412.17269120425,0.172019093353004,0.10923703931693
8109.58284812208,5009.23102590981,0.163236406695213,0.100829954917477
11263.1177491482,8627.4538112252,0.226098229050597,0.173189348755709
12627.6729712745,10147.2604224047,0.252802681629508,0.203145476748751
11982.2031079182,9374.91267654309,0.239229443681994,0.187173854755859
11380.2175970589,8667.99405443453,0.22659374194749,0.172590127668607
10814.8852425,8017.77585924164,0.214752605336772,0.159210034704021
10281.7543952279,7418.16248646917,0.203611695589641,0.146903396440834
9777.62267413805,6864.40295442642,0.193102335452308,0.135567947972825
9300.03295843564,6352.54799483,0.183171240529156,0.125118276670037
8847.00771485708,5879.18051788221,0.173775096984765,0.11548030674487
8416.89474696886,5441.26827521829,0.164877408509303,0.106588265529275
