"cases","vax","vax_campaign","vax_last_year","vax_last_year_campaign","vax_last_year_notNeighbours","vax_last_year_neighbours","vax_last_year_notNeighbours_campaign","vax_last_year_neighbours_campaign","vax_last2yearMean","vax_last2yearMean_notNeighbours","vax_last2yearMean_neighbours","vax_last3yearMean","vax_last3yearMean_notNeighbours","vax_last3yearMean_neighbours","vax_last2yearMean_campaign","vax_last2yearMean_notNeighbours_campaign","vax_last2yearMean_neighbours_campaign","vax_last3yearMean_campaign","vax_last3yearMean_notNeighbours_campaign","vax_last3yearMean_neighbours_campaign","village","year","dogs","dog_density","humans","human_density","incidence","incidence_last_year","incidence_last_year_neighbours","incidence_last_year_notNeighbours","log_incidence_last_year","log_incidence_last_year_neighbours","log_incidence_last_year_notNeighbours","log_human_density","log_dog_density","HDR"
0,0.245281198483036,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kebanchebanche",2002,373.39734808362,10.3721485578783,2175.98388253041,60.4439967369559,0,NA,NA,NA,NA,NA,NA,4.10171726256693,2.33912419054707,5.82752902155887
0,0.248976596700716,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kebosongo",2002,338.866620657414,15.4030282117006,1795.28874777854,81.6040339899336,0,NA,NA,NA,NA,NA,NA,4.40187869689928,2.73456412721246,5.29792147806004
0,0.235957078001241,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kegonga",2002,269.902917647794,14.2054167183049,1244.97888490492,65.5252044686801,0,NA,NA,NA,NA,NA,NA,4.18243486967282,2.65362335090577,4.61269146608315
0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kemgesi",2002,541.161824466652,30.0645458037029,2002.85664931472,111.269813850818,0,NA,NA,NA,NA,NA,NA,4.71195800721789,3.40334659723299,3.70103092783505
0,0.241354522810287,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kenokwe",2002,789.04705493624,9.28290652866165,2798.25179035489,32.9206092982928,0,NA,NA,NA,NA,NA,NA,3.4940988840912,2.2281747012797,3.5463687150838
0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kenyamonta",2002,605.52451611354,21.6258755754836,1637.29663386474,58.4748797808837,0,NA,NA,NA,NA,NA,NA,4.06859725656191,3.07389054103799,2.7039312039312
0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kenyana",2002,682.593008267272,9.22422984144963,2121.85888616416,28.6737687319481,0,NA,NA,NA,NA,NA,NA,3.35598272336462,2.22183370041972,3.10852713178295
0,0.248424745212587,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kerenero",2002,169.675355169441,15.425032288131,966.880198505226,87.8981998641114,0,NA,NA,NA,NA,NA,NA,4.47617932511978,2.73599166302304,5.6984126984127
0,0.24525754160408,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kibeyo",2002,359.159875811109,25.6542768436506,1547.32886152243,110.523490108745,0,NA,NA,NA,NA,NA,NA,4.70522807853548,3.24471029626134,4.30818965517242
0,0.246262900670256,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kisangura",2002,557.577629438575,19.9134867656634,2932.88822777073,104.746008134669,0,NA,NA,NA,NA,NA,NA,4.65153844957652,2.99139722909503,5.26005361930295
1,0.239822794528884,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kitarungu",2002,382.797363147302,10.3458746796568,1984.48837647987,53.6348209859425,0.00261234819325335,NA,NA,NA,NA,NA,NA,3.98219850240874,2.33658785858092,5.18417462482947
0,0.241093443635155,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kitembere",2002,292.897599157719,10.4606285413471,1498.23986756653,53.5085666988048,0,NA,NA,NA,NA,NA,NA,3.97984176629459,2.34761854682639,5.115234375
