id_case,id_biter,x_coord,y_coord,owned,date_symptoms,days_uncertain
2569,0,670263.171375381,9797814.8418865,FALSE,2006-02-01,14
3542,0,674457.886698853,9815257.44212526,FALSE,2008-02-17,0
3777,3778,687264.10363763,9810485.29368304,TRUE,2008-08-02,0
4716,0,649151.912192443,9821408.34072959,TRUE,2010-08-24,0
4719,0,649146.205983085,9821488.59402193,FALSE,2010-09-16,0
4867,4866,656937.401168879,9823497.79015259,TRUE,2010-11-25,7
5837,0,654108.252390277,9821340.85295662,TRUE,2010-10-02,0
6159,0,652346.732011327,9822314.58103962,TRUE,2011-02-12,0
6499,0,655472.539571872,9804625.05405502,FALSE,2011-09-05,7
6537,6536,695756.961944914,9809735.10480672,TRUE,2011-09-25,7
6540,0,700955.075041795,9803209.56657943,TRUE,2011-07-02,0
6541,6540,700550.125185339,9802843.69692602,TRUE,2011-07-15,7
6554,6553,699722.047276851,9803502.36644272,TRUE,2011-10-01,0
6691,0,662013.798710359,9794126.51931798,TRUE,2011-10-11,0
6705,0,670870.489221812,9787445.88793091,TRUE,2011-11-14,0
6718,0,684568.69540915,9795960.55203749,TRUE,2011-11-27,0
6758,0,679646.25691351,9807100.37422032,FALSE,2011-11-18,0
6761,0,699191.143896204,9792190.78021032,FALSE,2011-08-15,7
6772,0,656942.613225487,9809202.73689831,FALSE,2011-12-15,7
6789,0,697967.748405094,9791634.83426547,FALSE,2011-09-15,28
6802,0,656673.715253866,9802815.17380486,FALSE,2011-12-28,0
6805,0,657628.797128529,9803529.72191383,FALSE,2011-12-28,0
6810,6809,662006.903049412,9804359.12211911,TRUE,2012-01-20,0
6811,6809,663007.490034557,9803188.11857906,TRUE,2012-01-30,0
6812,6809,662198.159063111,9803586.93676089,TRUE,2012-02-02,0
6814,6809,663107.397094785,9804204.90404484,TRUE,2012-01-25,0
6824,5550,677271.43200052,9805833.55029967,TRUE,2011-09-15,0
7028,6773,657307.857084682,9810307.58124986,TRUE,2012-02-05,7
7029,6773,658584.069518966,9808548.59480611,TRUE,2012-02-05,7
7107,7327,700228.902258938,9803831.82811946,TRUE,2012-03-21,0
7134,0,656443.540100166,9803748.88633756,TRUE,2012-02-03,0
7146,0,654759.932471688,9795931.4806421,TRUE,2012-03-02,0
7185,0,655354.318327701,9796039.72582473,TRUE,2011-07-19,0
