"2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
0,63,87,77,181,92,111,134,206,184,482,550,524,367,443,495,335,219,220,0,269
0,0,22,0,0,32,190,5,0,0,0,0,0,143,188,0,0,151,83,71,141
0,53,76,128,105,75,102,92,147,171,198,183,121,88,155,160,148,52,94,0,81
0,0,346,0,0,0,126,152,0,0,0,213,176,332,363,335,0,380,138,159,222
0,0,172,0,0,117,150,141,0,0,0,150,0,153,208,245,0,118,95,92,137
0,0,223,0,0,0,174,149,0,0,221,217,181,209,292,292,0,340,268,179,313
0,3,18,48,4,87,96,104,119,144,88,67,90,81,104,65,31,93,72,0,39
0,0,315,0,0,304,391,237,0,7,0,0,317,387,434,320,0,332,367,243,285
0,79,76,200,165,130,193,259,255,16,201,143,218,205,195,313,307,183,204,0,158
0,25,90,154,203,218,209,269,245,269,187,226,192,311,251,241,185,258,197,0,286
0,0,57,0,0,16,16,6,0,0,0,0,0,91,115,0,0,67,66,37,78
0,214,204,285,259,366,369,458,400,424,428,590,453,366,465,402,431,362,299,0,305
0,109,70,96,114,115,134,128,193,152,0,182,206,186,0,458,335,248,252,0,297
0,0,178,0,0,0,113,104,0,0,0,0,0,103,112,259,0,57,66,102,108
