"","id_case","id_biter","x_coord","y_coord","owned","date_symptoms","days_uncertain"
"1",3683,0,647080.618621544,9801389.44460689,FALSE,2008-05-25,7
"2",5015,0,687994.416503215,9762144.43775552,FALSE,2010-05-30,0
"3",6252,0,701654.354248416,9797849.47538529,FALSE,2011-02-03,0
"4",8539,0,647017.752054385,9778500.34510121,FALSE,2013-08-14,0
"5",9002,0,686685.636032322,9762025.38405056,TRUE,2014-06-10,0
"6",9049,0,660698.816546353,9776267.49238215,FALSE,2013-03-03,0
"7",9051,0,661540.612141525,9775158.24276423,FALSE,2002-01-15,28
"8",1066,0,662566.655290168,9785666.12778425,TRUE,2003-03-03,0
"9",1351,0,687641.61357483,9763552.17730712,TRUE,2004-06-05,0
"10",1930,0,682454.12582989,9815146.5452615,TRUE,2002-03-05,0
"11",1990,0,669625.010550989,9831528.0097563,TRUE,2005-04-15,28
"12",2165,0,650816.265974033,9784380.91311137,TRUE,2005-01-10,0
"13",2175,0,650814.512338431,9779881.77856606,FALSE,2002-09-15,28
"14",2243,0,649779.074098298,9818805.71061132,TRUE,2002-08-15,28
"15",231,0,699768.588882078,9795046.39480303,FALSE,2002-01-07,0
"16",3178,0,642813.903330255,9797679.48763054,TRUE,2007-02-15,28
"17",351,0,663018.037139415,9770928.1701362,FALSE,2003-09-23,0
"18",3559,0,697813.530373781,9804528.39838795,FALSE,2008-01-16,0
"19",357,0,669403.821222849,9831508.58421096,FALSE,2002-04-15,28
"20",3796,0,649514.588237234,9813943.02775051,FALSE,2008-07-24,0
"21",3842,0,687858.195742965,9762423.49067729,TRUE,2008-12-04,0
"22",4010,0,665467.537663697,9777064.68283169,TRUE,2009-09-12,0
"23",4127,0,650541.412192063,9780651.47125752,TRUE,2009-10-17,0
"24",4169,0,642242.829922142,9820749.89735718,FALSE,2009-05-15,7
"25",923,0,668861.068380577,9829805.1975286,TRUE,2002-12-17,0
"26",9502,0,702284.74453387,9800572.33923562,FALSE,2014-06-16,0
"27",10103,0,685791.930613836,9761589.06741083,FALSE,2014-12-30,0
"28",10524,0,659480.502266478,9777780.9756159,TRUE,2016-05-21,0
"29",10617,0,662991.151199731,9831209.38366225,FALSE,2016-05-27,7
"30",10821,0,688930.599729883,9817190.96580516,TRUE,2010-03-16,7
"31",11043,0,651473.819231291,9820388.88555093,TRUE,2019-02-12,0
"32",11104,0,686610.078784219,9763060.03760972,FALSE,2017-10-21,7
"33",11123,0,667973.941532049,9809825.92367855,FALSE,2020-05-31,7
"34",11129,0,685999.854258639,9800526.78133569,FALSE,2010-04-17,7
"35",11301,0,649460.291759716,9778543.67657972,FALSE,2011-02-08,7
"36",11305,0,649125.755036195,9780997.3710736,FALSE,2014-08-10,14
"37",11312,0,639026.296455781,9805475.17801495,FALSE,2007-09-24,7
"38",11317,0,646417.010004969,9805858.65700444,FALSE,2017-10-05,7
"39",11318,0,645356.281798599,9802982.93065386,TRUE,2018-10-31,28
"40",11322,0,645352.332197347,9798416.30944645,FALSE,2013-10-29,28
"41",11167,0,684968.894389215,9793021.67556915,FALSE,2019-09-15,7
"42",11328,0,653022.991408276,9802892.01106895,FALSE,2020-01-12,14
"43",11408,0,646592.317567166,9822028.05545322,FALSE,2020-10-27,0
"44",11525,0,668737.845854243,9792217.12146218,FALSE,2021-11-15,7
"45",11444,0,697538.879755596,9805295.85370861,TRUE,2021-05-16,0
"46",11470,0,649438.890028208,9784217.87744885,TRUE,2021-05-02,0
"47",11473,11472,682778.378858069,9781370.80274757,TRUE,2021-05-10,0
"48",11484,0,660032.216883329,9823058.40931957,TRUE,2021-05-31,7
"49",11486,0,678453.970257667,9792293.94739568,FALSE,2002-12-26,7
"50",11513,0,681248.169835962,9798235.77038879,FALSE,2021-10-23,0
"51",11575,0,651583.748159917,9772438.08733339,FALSE,2019-10-28,7
"52",11804,0,682600.522586519,9788188.82307345,FALSE,2022-04-09,7
"53",11830,0,694063.955861428,9810588.82142072,FALSE,2022-08-07,7
"54",11845,0,656770.221107843,9826179.48900845,FALSE,2022-02-08,7
"55",11849,0,699756.569990648,9794800.29764108,FALSE,2022-10-22,7
"56",11890,0,660097.520597595,9830638.98672744,FALSE,2022-11-23,7
