"","Estimate","exp.Estimate."
"Intercept","6.7 (4.17-9.35)","809.49 (64.75-11449.26)"
"Vaccination over last 2 months","-0.03 (-2.21-2.21)","0.97 (0.11-9.1)"
"Log dogs/km2","-4.72 (-5.61--3.85)","0.01 (0-0.02)"
"shape","1.29 (1.06-1.56)",NA
