"cellID","Region","District","Ward","WardID","Village","VillageID"
4051,"Mara","Serengeti","Ikoma",3,"Robanda",81
4052,"Mara","Serengeti","Ikoma",3,"Robanda",81
4053,"Mara","Serengeti","Ikoma",3,"Robanda",81
4054,"Mara","Serengeti","Ikoma",3,"Robanda",81
4055,"Mara","Serengeti","Ikoma",3,"Robanda",81
4056,"Mara","Serengeti","Ikoma",3,"Robanda",81
4057,"Mara","Serengeti","Ikoma",3,"Robanda",81
4058,"Mara","Serengeti","Ikoma",3,"Robanda",81
4059,"Mara","Serengeti","Ikoma",3,"Robanda",81
4060,"Mara","Serengeti","Ikoma",3,"Robanda",81
4061,"Mara","Serengeti","Ikoma",3,"Robanda",81
4062,"Mara","Serengeti","Ikoma",3,"Robanda",81
4063,"Mara","Serengeti","Ikoma",3,"Robanda",81
4064,"Mara","Serengeti","Ikoma",3,"Robanda",81
4065,"Mara","Serengeti","Natta",18,"Makundusi",38
4066,"Mara","Serengeti","Natta",18,"Makundusi",38
4067,"Mara","Serengeti","Natta",18,"Makundusi",38
4068,"Mara","Serengeti","Natta",18,"Makundusi",38
4069,"Mara","Serengeti","Natta",18,"Makundusi",38
4070,"Mara","Serengeti","Natta",18,"Makundusi",38
4071,"Mara","Serengeti","Natta",18,"Makundusi",38
4072,"Mara","Serengeti","Natta",18,"Makundusi",38
4073,"Mara","Serengeti","Natta",18,"Makundusi",38
4074,"Mara","Serengeti","Ikoma",3,"Robanda",81
4075,"Mara","Serengeti","Ikoma",3,"Robanda",81
4076,"Mara","Serengeti","Ikoma",3,"Robanda",81
4077,"Mara","Serengeti","Ikoma",3,"Robanda",81
4078,"Mara","Serengeti","Ikoma",3,"Robanda",81
4079,"Mara","Serengeti","Ikoma",3,"Robanda",81
4080,"Mara","Serengeti","Ikoma",3,"Robanda",81
4081,"Mara","Serengeti","Ikoma",3,"Robanda",81
4082,"Mara","Serengeti","Ikoma",3,"Robanda",81
4083,"Mara","Serengeti","Ikoma",3,"Robanda",81
4084,"Mara","Serengeti","Ikoma",3,"Robanda",81
4085,"Mara","Serengeti","Ikoma",3,"Robanda",81
4086,"Mara","Serengeti","Ikoma",3,"Robanda",81
4087,"Mara","Serengeti","Ikoma",3,"Robanda",81
4088,"Mara","Serengeti","Ikoma",3,"Robanda",81
4089,"Mara","Serengeti","Ikoma",3,"Robanda",81
4090,"Mara","Serengeti","Ikoma",3,"Robanda",81
4091,"Mara","Serengeti","Ikoma",3,"Robanda",81
4092,"Mara","Serengeti","Ikoma",3,"Robanda",81
4093,"Mara","Serengeti","Ikoma",3,"Robanda",81
4094,"Mara","Serengeti","Ikoma",3,"Robanda",81
4095,"Mara","Serengeti","Ikoma",3,"Robanda",81
4096,"Mara","Serengeti","Ikoma",3,"Robanda",81
4097,"Mara","Serengeti","Ikoma",3,"Robanda",81
4098,"Mara","Serengeti","Ikoma",3,"Robanda",81
4099,"Mara","Serengeti","Ikoma",3,"Robanda",81
4100,"Mara","Serengeti","Ikoma",3,"Robanda",81
4101,"Mara","Serengeti","Ikoma",3,"Robanda",81
4102,"Mara","Serengeti","Ikoma",3,"Robanda",81
4103,"Mara","Serengeti","Ikoma",3,"Robanda",81
4104,"Mara","Serengeti","Ikoma",3,"Robanda",81
4105,"Mara","Serengeti","Ikoma",3,"Robanda",81
4106,"Mara","Serengeti","Ikoma",3,"Robanda",81
4107,"Mara","Serengeti","Ikoma",3,"Robanda",81
4108,"Mara","Serengeti","Ikoma",3,"Robanda",81
4109,"Mara","Serengeti","Ikoma",3,"Robanda",81
4110,"Mara","Serengeti","Ikoma",3,"Robanda",81
4111,"Mara","Serengeti","Ikoma",3,"Robanda",81
4112,"Mara","Serengeti","Ikoma",3,"Robanda",81
4113,"Mara","Serengeti","Ikoma",3,"Robanda",81
4114,"Mara","Serengeti","Ikoma",3,"Robanda",81
4115,"Mara","Serengeti","Ikoma",3,"Robanda",81
4116,"Mara","Serengeti","Ikoma",3,"Robanda",81
4117,"Mara","Serengeti","Ikoma",3,"Robanda",81
