"cellID","Region","District","Ward","WardID","Village","VillageID"
3481,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3482,"Mara","Serengeti","Ikoma",3,"Robanda",81
3483,"Mara","Serengeti","Ikoma",3,"Robanda",81
3484,"Mara","Serengeti","Ikoma",3,"Robanda",81
3485,"Mara","Serengeti","Ikoma",3,"Robanda",81
3486,"Mara","Serengeti","Ikoma",3,"Robanda",81
3487,"Mara","Serengeti","Ikoma",3,"Robanda",81
3488,"Mara","Serengeti","Ikoma",3,"Robanda",81
3489,"Mara","Serengeti","Ikoma",3,"Robanda",81
3490,"Mara","Serengeti","Ikoma",3,"Robanda",81
3491,"Mara","Serengeti","Ikoma",3,"Robanda",81
3492,"Mara","Serengeti","Ikoma",3,"Robanda",81
3493,"Mara","Serengeti","Ikoma",3,"Robanda",81
3494,"Mara","Serengeti","Ikoma",3,"Robanda",81
3495,"Mara","Serengeti","Ikoma",3,"Robanda",81
3496,"Mara","Serengeti","Ikoma",3,"Robanda",81
3497,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3498,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3499,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3500,"Mara","Serengeti","Issenye",4,"Nyiberekera",73
3501,"Mara","Serengeti","Issenye",4,"Nyiberekera",73
3502,"Mara","Serengeti","Issenye",4,"Nyiberekera",73
3503,"Mara","Serengeti","Issenye",4,"Nyiberekera",73
3504,"Mara","Serengeti","Issenye",4,"Iharara",13
3505,"Mara","Serengeti","Issenye",4,"Iharara",13
3506,"Mara","Serengeti","Issenye",4,"Iharara",13
3507,"Mara","Serengeti","Issenye",4,"Iharara",13
3508,"Mara","Serengeti","Issenye",4,"Iharara",13
3509,"Mara","Serengeti","Issenye",4,"Iharara",13
3510,"Mara","Serengeti","Issenye",4,"Iharara",13
3511,"Mara","Serengeti","Issenye",4,"Iharara",13
3512,"Mara","Serengeti","Issenye",4,"Iharara",13
3513,"Mara","Serengeti","Issenye",4,"Iharara",13
3514,"Mara","Serengeti","Issenye",4,"Singisi",84
3515,"Mara","Serengeti","Natta",18,"Motukeri",53
3516,"Mara","Serengeti","Natta",18,"Motukeri",53
3517,"Mara","Serengeti","Natta",18,"Mbisso",46
3518,"Mara","Serengeti","Natta",18,"Makundusi",38
3519,"Mara","Serengeti","Natta",18,"Makundusi",38
3520,"Mara","Serengeti","Natta",18,"Makundusi",38
3521,"Mara","Serengeti","Natta",18,"Makundusi",38
3522,"Mara","Serengeti","Natta",18,"Makundusi",38
3523,"Mara","Serengeti","Natta",18,"Makundusi",38
3524,"Mara","Serengeti","Natta",18,"Makundusi",38
3525,"Mara","Serengeti","Natta",18,"Makundusi",38
