"","id_case","id_biter","x_coord","y_coord","owned","date_symptoms","days_uncertain"
"1",6691,0,661202.11322273,9794269.57840776,TRUE,2011-10-11,0
"2",7185,0,654808.162886148,9796789.04628382,TRUE,2011-07-19,0
"3",7382,0,668297.193095997,9831302.02228878,TRUE,2012-02-08,0
"4",7562,0,657597.15132983,9793668.96085556,TRUE,2012-08-11,0
"5",8065,0,663364.137584336,9827706.25175669,TRUE,2013-01-15,7
"6",8074,0,683956.48124367,9779916.64158241,FALSE,2013-05-11,0
"7",8198,0,692131.560123469,9814055.31018516,FALSE,2013-05-22,0
"8",8926,0,667967.233531668,9831041.5790263,FALSE,2014-01-01,0
"9",8966,0,664484.955340084,9794419.23186832,FALSE,2014-03-04,0
"10",8991,0,673918.704925542,9797156.11582575,FALSE,2013-12-08,0
"11",9140,0,663002.157190146,9787194.72508545,FALSE,2013-11-04,0
"12",9240,0,669844.224999392,9812707.82994979,TRUE,2014-01-09,0
"13",9457,0,685795.674964844,9795339.57333409,TRUE,2011-02-15,14
"14",1072,0,653723.69698217,9788682.11739278,TRUE,2003-09-15,28
"15",3116,0,666861.370198402,9795536.75518156,TRUE,2007-09-25,7
"16",3683,0,647080.618621544,9801389.44460689,FALSE,2008-05-25,7
"17",3911,0,671977.047559296,9789196.98281782,TRUE,2007-06-26,7
"18",3945,0,661410.543497651,9814148.12771568,TRUE,2007-11-25,7
"19",3949,0,662662.600191687,9813712.25186377,TRUE,2005-11-18,0
"20",4109,0,682775.498054697,9785377.86104522,FALSE,2007-07-20,0
"21",4116,0,675560.418270925,9790491.34291568,TRUE,2008-03-06,0
"22",4182,0,661807.246087706,9818977.88856823,FALSE,2010-05-03,0
"23",4206,0,677771.876814788,9801652.83014136,TRUE,2010-05-01,28
"24",4402,0,662446.665298953,9798365.00775173,TRUE,2010-06-10,0
"25",5015,0,687994.416503215,9762144.43775552,FALSE,2010-05-30,0
"26",7920,0,672313.67152784,9817737.36752709,TRUE,2013-04-10,0
"27",9527,0,662280.182642185,9797328.19904521,FALSE,2014-08-15,0
"28",1956,0,660990.460026151,9790474.9991088,FALSE,2005-08-12,0
"29",1957,0,662382.773189711,9797609.86776172,FALSE,2002-08-15,28
"30",1960,0,702094.129463545,9798895.69764183,FALSE,2005-04-15,0
"31",3776,0,658061.318077055,9790099.26720199,FALSE,2008-07-15,0
"32",3783,0,686242.606912316,9818994.78387941,TRUE,2008-08-03,0
"33",6183,0,665216.576201011,9820213.42962013,TRUE,2010-09-15,7
"34",6252,0,701654.354248416,9797849.47538529,FALSE,2011-02-03,0
"35",6434,0,684764.058663494,9788025.73014115,FALSE,2011-09-23,0
"36",6561,0,658490.558009659,9804924.15281431,FALSE,2011-06-15,7
"37",6569,0,657367.777591272,9804390.86225862,FALSE,2010-01-10,0
"38",6595,0,678534.482236527,9783680.95483696,TRUE,2011-10-16,0
"39",6699,0,661493.253282237,9831706.1532594,TRUE,2011-10-26,0
"40",6820,0,654544.191317842,9791762.84270071,TRUE,2011-12-24,0
"41",6860,0,648930.772938093,9779135.87381754,TRUE,2011-12-05,0
"42",6876,0,694957.279860933,9806202.93872172,TRUE,2012-01-18,0
"43",7380,0,669628.780667775,9830699.53126433,FALSE,2010-02-23,0
"44",7542,0,695077.93430834,9788428.96226122,TRUE,2012-07-19,0
"45",7803,0,684180.60565665,9779517.67647525,FALSE,2012-09-15,7
"46",7864,0,649315.95365208,9780980.80987739,FALSE,2010-02-02,0
"47",7872,0,649700.824428487,9785325.54318005,FALSE,2012-08-18,0
"48",8101,0,691894.60854299,9786472.82223162,FALSE,2013-04-25,7
"49",8105,0,692484.76822018,9785725.80794522,FALSE,2012-12-25,7
"50",8106,0,692599.169725974,9785232.38685026,FALSE,2013-04-25,7
"51",8191,0,641024.33107232,9819405.24441647,FALSE,2013-05-07,0
"52",8253,0,680845.467511636,9809447.20479237,FALSE,2013-02-15,0
"53",8301,0,667788.208473823,9812389.19876931,FALSE,2013-07-08,0
"54",8318,0,659195.306588829,9804705.86888541,TRUE,2013-05-02,0
"55",8360,0,699296.003894267,9791831.62737298,FALSE,2013-06-01,0
"56",8539,0,647017.752054385,9778500.34510121,FALSE,2013-08-14,0
"57",8901,0,661599.463459642,9805550.3448061,FALSE,2014-01-06,0
"58",9002,0,686685.636032322,9762025.38405056,TRUE,2014-06-10,0
"59",9049,0,660698.816546353,9776267.49238215,FALSE,2013-03-03,0
"60",9051,0,661540.612141525,9775158.24276423,FALSE,2002-01-15,28
"61",9065,0,682006.489497549,9787621.11060775,FALSE,2013-09-14,0
"62",9187,0,661467.9615822,9816365.21148323,TRUE,2013-02-05,0
"63",9347,0,675309.073302791,9796892.48151992,FALSE,2013-12-08,0
"64",9423,0,677217.927514427,9808402.84032134,FALSE,2014-05-19,7
