"shape","1.18 (1.09-1.27)","rate","0.04 (0.04-0.05)","10428","77.3","94.1","116"
"meanlog","2.83 (2.78-2.88)","sdlog","0.95 (0.91-0.98)","10165","80.2","108.1","152.9"
"shape","1 (0.96-1.05)","scale","27.37 (25.88-28.98)","10448","81.9","100.8","125.8"
