"Intercept","Village last year","Borders last year","Non-bordering villages last year","Village mean last 2 years","Borders mean last 2 years","Non-bordering villages mean last 2 years","Village mean last 3 years","Borders mean last 3 years","Non-bordering villages mean last 3 years","Village ln(Cases/dog) last year","Borders ln(Cases/dog) last year","Non-bordering villages ln(Cases/dog) last year","Village ln(dog density)","Human:dog ratio","Village random effect standard deviation","Shape"
"1.37 (-0.86 - 3.84)","-1.06 (-1.72 - -0.42)","-0.41 (-1.43 - 0.65)","-0.86 (-2.25 - 0.54)","","","","","","","","","","-2.86 (-3.56 - -2.2)","0.51 (0.21 - 0.81)","1.58 (1.21 - 2.02)","0.5 (0.44 - 0.56)"
"0.22 (-1.98 - 2.75)","","","","-1.5 (-2.38 - -0.6)","-1.18 (-2.58 - 0.23)","-0.81 (-2.77 - 1.15)","","","","","","","-2.49 (-3.27 - -1.8)","0.55 (0.29 - 0.84)","1.45 (1.09 - 1.92)","0.47 (0.41 - 0.54)"
"-0.44 (-2.74 - 2.55)","","","","","","","-1.69 (-2.81 - -0.6)","-1.36 (-3.08 - 0.36)","-0.39 (-3.16 - 2.41)","","","","-2.28 (-3.25 - -1.55)","0.55 (0.27 - 0.84)","1.36 (0.99 - 1.88)","0.43 (0.37 - 0.5)"
"1.4 (0.05 - 2.84)","-0.98 (-1.62 - -0.36)","-0.51 (-1.47 - 0.46)","-2.8 (-4.05 - -1.53)","","","","","","","0.09 (0.03 - 0.15)","0.17 (0.08 - 0.26)","0.4 (0.28 - 0.52)","-1.3 (-1.76 - -0.9)","0.36 (0.18 - 0.55)","0.89 (0.67 - 1.15)","0.56 (0.5 - 0.64)"
