"cases","vax","vax_last_month","vax_last2monthMean","immune","immune_last_month","immune_last2monthMean","cases_last_month","case_rate_last_month","case_rate_last2monthMean","month","dogs","humans","dog_density","human_density","incidence","log_case_rate_last2monthMean","log_human_density","log_dog_density"
9,0.183171240529156,0.193102335452308,0.198357015520975,0.125118276670037,0.135567947972825,0.14123567220683,15,0.000296241236578498,0.000593692742915493,63,50772.3424898425,206383.275233893,21.27927178954,86.4976006847832,0.000177261862633195,-7.42421786595695,4.46011667580496,3.05773344347156
18,0.173775096984765,0.183171240529156,0.188136787990732,0.11548030674487,0.125118276670037,0.130343112321431,9,0.000177261862633195,0.000236751549605847,64,50910.6763187863,206936.206835694,21.3372490858283,86.7293406687737,0.00035356041800132,-8.33618022593418,4.46279224255486,3.06045432874636
30,0.164877408509303,0.173775096984765,0.17847316875696,0.106588265529275,0.11548030674487,0.120299291707454,18,0.00035356041800132,0.000265411140317258,65,51049.4119422912,207490.730649529,21.3953947788312,86.961747967112,0.000587665927159229,-8.22323435588553,4.46546834342869,3.06317570161868
29,0.210787576582347,0.164877408509303,0.169326252747034,0.157391689474659,0.106588265529275,0.111034286137073,30,0.000587665927159229,0.000470613172580275,66,51188.5506024322,208046.851595997,21.4537093891166,87.1948246420776,0.000566532938688483,-7.65525777089221,4.46814497871874,3.06589756231658
29,0.320500386432868,0.210787576582347,0.187832492545825,0.278554055965829,0.157391689474659,0.131989977501967,29,0.000566532938688483,0.000577099432923856,67,51328.093545366,208604.574612002,21.5121934389631,87.4285727627838,0.000564992735885827,-7.4524237892431,4.47082214871761,3.06861991106834
20,0.303058190580259,0.320500386432868,0.265643981507607,0.256528149855754,0.278554055965829,0.217972872720244,29,0.000564992735885827,0.000565762837287155,68,51468.0420213461,209163.904650811,21.5708474523664,87.6629944052017,0.000388590651878793,-7.47216202068969,4.47349985371824,3.07134274810247
22,0.286913583366306,0.303058190580259,0.311779288506564,0.236483091100834,0.256528149855754,0.267541102910791,20,0.000388590651878793,0.00047679169388231,69,51608.3972847366,209724.846682113,21.6296719550447,87.8980916521848,0.00042628721598581,-7.642294850538,4.47617809401387,3.07406607364768
14,0.271832202539315,0.286913583366306,0.294985886973283,0.218119376679937,0.236483091100834,0.246505620478294,22,0.00042628721598581,0.000407438933932302,70,51749.1605940264,210287.405692074,21.6886674744453,88.1338665934929,0.000270535789166328,-7.79844276957182,4.47885686989807,3.07678988793291
15,0.25767166405296,0.271832202539315,0.279372892952811,0.201242270228341,0.218119376679937,0.227301233890385,14,0.000270535789166328,0.000348411502576069,71,51890.3332118441,210851.586683399,21.7478345397503,88.370321325817,0.000289071182849452,-7.95373879051982,4.48153618166472,3.07951419118734
9,0.244332452571058,0.25767166405296,0.264751933296137,0.185704145704294,0.201242270228341,0.209680823454139,15,0.000289071182849452,0.00027980348600789,72,52031.9164049719,211417.394675389,21.8071736818826,88.6074579528034,0.000172970757601002,-8.17098960163945,4.48421602960802,3.08223898364032
13,0.231739502887739,0.244332452571058,0.251002058312009,0.171384135601047,0.185704145704294,0.193473207966318,9,0.000172970757601002,0.000231020970225227,73,52173.9114443604,211984.834703998,21.8666854335123,88.845278585079,0.000249166674303565,-8.3603793576296,4.48689641402248,3.08496426552146
9,0.219833143103702,0.231739502887739,0.238035977729398,0.158178683410669,0.171384135601047,0.17854414065267,13,0.000249166674303565,0.000211068715952284,74,52316.3196051428,212553.911821897,21.9263703290624,89.0837853402752,0.000172030449923226,-8.44951907656051,4.48957733520294,3.08769003706057
9,0.208564007879887,0.219833143103702,0.22578632299572,0.14599653759671,0.158178683410669,0.164781409505858,9,0.000172030449923226,0.000210598562113396,75,52459.1421666501,213124.631098525,21.9862289047151,89.3229803430534,0.000171562088671011,-8.45171843996453,4.49225879344455,3.09041629848768
6,0.197889954699124,0.208564007879887,0.214198575491794,0.134755866472153,0.14599653759671,0.15208761050369,9,0.000171562088671011,0.000171796269297118,76,52602.3804124251,213696.997620159,22.0462616984179,89.5628657251297,0.000114063279132188,-8.65226369256854,4.49494078904277,3.09314305003303
9,0.187774100197397,0.197889954699124,0.203226981289506,0.124382477512741,0.134755866472153,0.140376202034432,6,0.000114063279132188,0.0001428126839016,77,52746.0356302373,214271.016489965,22.1064692498899,89.8034436252996,0.000170628937179132,-8.83363641022789,4.49762332229338,3.0958702919271
8,0.327830249764643,0.187774100197397,0.19283202744826,0.277644488990929,0.124382477512741,0.129569171992447,9,0.000170628937179132,0.00014234610815566,78,52890.1091120979,214846.692828061,22.1668521006278,90.0447161894639,0.000151257014483453,-8.83684281083566,4.50030639349248,3.09859802440056
10,0.365700561857608,0.327830249764643,0.25780217498102,0.318636711313529,0.277644488990929,0.201013483251835,8,0.000151257014483453,0.000160942975831292,79,53034.6021542744,215424.031771578,22.2274107939121,90.2866855706529,0.000188556142476767,-8.716390935086,4.50299000293648,3.10132624768431
15,0.34576635172278,0.365700561857608,0.346765405811125,0.29341465504308,0.318636711313529,0.298140600152229,10,0.000188556142476767,0.00016990657848011,80,53179.5160573053,216003.038474719,22.2881458748136,90.5293539290524,0.000282063491962512,-8.66313746400784,4.50567415092209,3.10405496200946
5,0.327321469706919,0.34576635172278,0.355733456790194,0.270466655817667,0.29341465504308,0.306025683178304,15,0.000282063491962512,0.000235309817219639,81,53324.8521260152,216583.718108821,22.3490578901992,90.7727234320289,9.37649107433846e-05,-8.34221347384286,4.50835883774635,3.10678416760734
3,0.310098855539555,0.327321469706919,0.336543910714849,0.249451010296179,0.270466655817667,0.281940655430373,5,9.37649107433846e-05,0.000187914201352948,82,53470.6116695301,217166.075862414,22.4101473887385,91.016796254155,5.61055859719954e-05,-8.56402909143646,4.51104406370661,3.10951386470948
15,0.293932987545337,0.310098855539555,0.318710162623237,0.230141508051911,0.249451010296179,0.259958833056923,3,5.61055859719954e-05,7.493524835769e-05,83,53616.7960012916,217750.116941283,22.4714149209102,91.2615745772353,0.00027976308020417,-9.46047181436009,4.51372982910052,3.11224405354765
14,0.27870812264302,0.293932987545337,0.302015921542446,0.212366876191858,0.230141508051911,0.239796259174045,15,0.00027976308020417,0.000167934333088083,84,53763.4064390728,218335.84656853,22.5328610390079,91.5070605903312,0.000260400166716844,-8.674613804344,4.51641613422607,3.11497473435381
11,0.264337230108144,0.27870812264302,0.286320555094178,0.195987420407926,0.212366876191858,0.221254192121885,14,0.000260400166716844,0.000270081623460507,85,53910.4443049929,218923.269984635,22.5944862971471,91.7532564897882,0.000204042095030206,-8.20597936036951,4.51910297938153,3.11770590736014
9,0.250751360160914,0.264337230108144,0.271522676375582,0.180883851982628,0.195987420407926,0.204177148299892,11,0.000204042095030206,0.000232221130873525,86,54057.9109255327,219512.392447515,22.656291251271,92.0001644792601,0.00016648812071924,-8.35526260475977,4.52179036486549,3.12043757279905
7,0.237893635493891,0.250751360160914,0.257544295134529,0.166951311074199,0.180883851982628,0.188435636195277,9,0.00016648812071924,0.000185265107874723,87,54205.8076315496,220103.21923259,22.7182764591574,92.2477867697362,0.000129137454192745,-8.57800691554452,4.52447829097686,3.12316973090313
4,0.225715610967602,0.237893635493891,0.244322497827403,0.154095917560907,0.166951311074199,0.173917581528413,7,0.000129137454192745,0.000147812787455993,88,54354.1357582932,220695.755632846,22.7804424804246,92.4961255795666,7.35914561826087e-05,-8.79990509341974,4.52716675801485,3.12590238190522
9,0.214174961690784,0.225715610967602,0.231804623230747,0.142232647917026,0.154095917560907,0.160523614317553,4,7.35914561826087e-05,0.000101364455187677,89,54502.8966454204,221290.006958891,22.8427898765383,92.7451831344891,0.000165128838170773,-9.16824831328849,4.52985576627898,3.12863552603835
5,0.207572617666487,0.214174961690784,0.219945286329193,0.136556358494243,0.142232647917026,0.148164282738966,9,0.000165128838170773,0.000119360147176691,90,54652.0916370108,221885.978539024,22.9053192108176,92.9949616676546,9.14878067834821e-05,-9.00907651655766,4.53254531606909,3.13136916353575
7,0.331361586243909,0.207572617666487,0.210873789678636,0.27454617020487,0.136556358494243,0.139394503205635,5,9.14878067834821e-05,0.000128308322477128,91,54801.7220815824,222483.675719295,22.9680310484419,93.2454634196543,0.000127733212280797,-8.93846062856868,4.53523540768531,3.13410329463089
2,0.365719296902471,0.331361586243909,0.269467101955198,0.312502643491879,0.27454617020487,0.205551264349557,7,0.000127733212280797,0.00010961050953214,92,54951.7893321072,223083.103863569,23.0309259564573,93.4966906385453,3.63955391500135e-05,-9.09215649745595,4.53792604142809,3.13683791955743
2,0.3490204746102,0.365719296902471,0.34854044157319,0.291024159168587,0.312502643491879,0.293524406848374,2,3.63955391500135e-05,8.20643757154052e-05,93,55102.2947460261,223684.268353589,23.094004503783,93.7486455798781,3.62961290308919e-05,-9.37287142396572,4.54061721759819,3.13957303854926
10,0.330489571645613,0.3490204746102,0.357369885756336,0.268308346989156,0.291024159168587,0.301763401330233,2,3.62961290308919e-05,3.63458340904527e-05,94,55253.2396852655,224287.17458904,23.1572672612177,94.0013305067227,0.000180984862733157,-10.1447841791837,4.54330893649667,3.14230865184045
11,0.313154511908315,0.330489571645613,0.339755023127907,0.247482304930354,0.268308346989156,0.279666253078871,10,0.000180984862733157,0.000108640495882024,95,55404.6255162523,224891.827987612,23.2207148014469,94.2547476896951,0.000198539380015722,-9.10081274295843,4.54600119842489,3.14504475966531
6,0.296864361417002,0.313154511908315,0.321822041776964,0.228336243626221,0.247482304930354,0.257895325959755,11,0.000198539380015722,0.00018976212137444,96,55556.45360993,225498.233985066,23.2843476990486,94.508899406985,0.000107998254210517,-8.55439302859749,4.54869400368453,3.14778136225834
4,0.281510617621831,0.296864361417002,0.305009436662659,0.210706559333779,0.228336243626221,0.237909274278288,6,0.000107998254210517,0.00015326881711312,97,55708.7253417742,226106.398035295,23.3481665305005,94.7637879443819,7.18020377500995e-05,-8.76435148345935,4.55138735257756,3.15051845985425
4,0.267010322088976,0.281510617621831,0.289187489519417,0.194457749278689,0.210706559333779,0.21952140148,4,7.18020377500995e-05,8.99001459803082e-05,98,55861.4420918091,226716.325610393,23.4121718741866,95.0194155953028,7.16057418178704e-05,-9.28468963629169,4.55408124540628,3.15325605268797
6,0.253296940145451,0.267010322088976,0.274260469855404,0.179473072382345,0.194457749278689,0.202582154306234,4,7.16057418178704e-05,7.1703889783985e-05,99,56014.6052446226,227328.022200715,23.4763643104034,95.2757846608192,0.000107114920721074,-9.50285431697151,4.55677568247326,3.15599414099464
9,0.240315045304619,0.253296940145451,0.260153631117214,0.165649356344547,0.179473072382345,0.186965410830517,6,0.000107114920721074,8.93603312694721e-05,100,56168.216189383,227941.493314946,23.5407444213676,95.5328974496839,0.000160232968226276,-9.29052140010667,4.5594706640814,3.15873272500958
22,0.228017048041929,0.240315045304619,0.246805992725035,0.152893927063689,0.165649356344547,0.172561214363446,9,0.000160232968226276,0.000133673944473675,101,56322.2763198547,228556.744480165,23.6053127912216,95.790756278359,0.000390609212508774,-8.8983911065386,4.56216619053389,3.16147180496835
